TrainNo,TrainName,TrainNumber,trainName,
,,'12332',HIMGIRI EXPRESS,
,,'12333',VIBHUTI EXPRESS,
,,'12334',VIBHUTI EXPRESS,
,,'12335',BGP LTT EXPRESS,
,,'12336',BHAGALPUR EXP  ,
,,'12337',SANTINIKATANEXP,
,,'12338',SANTINIKETANEXP,
,,'12339',COAL FIELD EXP ,
,,'12340',COALFIELD EXP  ,
,,'12341',AGNIBINA EXPRES,
,,'12342',AGNIBINA EXPRES,
,,'12343',DARJEELING MAIL,
,,'12344',DARJEELING MAIL,
,,'12345',SARAIGHAT EXP  ,
,,'12346',SARAIGHAT EXP  ,
,,'12347',RAMPURHAT EXP  ,
,,'12348',RAMPURHAT EXP  ,
,,'12349',BGP NDLS EXP   ,
